Brand,Series,Model
Legion,7,16IRX9
Legion,Slim,7-16APH8
Legion,Slim,7-16APH8
Legion,Slim,7-16IRH8
Legion,Pro,7-16ARX8H
Legion,Pro,7-16ARX8H
Legion,Pro,7-16IAX10H
Legion,Pro,7-16IRX8
Legion,Pro,7-16IRX8H
Legion,Pro,7-16IRX9H
Legion,9,16IRX8
Legion,9,16IRX8
Legion,9,16IRX9
Legion,Go,8APU1
Legion,Go,8APU1
Legion,Go,S-8APU1
Legion,Go,S-8ARP1
Yoga,7,16IRL8
Yoga,7,16IRL8
Yoga,7,2-in-1-14AHP9
Yoga,7,2-in-1-14AKP10
Yoga,7,2-in-1-14ILL10
Yoga,7,2-in-1-14IML9
Yoga,7,2-in-1-16AHP9
Yoga,7,2-in-1-16AKP10
Yoga,7,2-in-1-16ILL10
Yoga,7,2-in-1-16IML9
Yoga,Slim,7-14AKP10
Yoga,Slim,7-14AKP10
Yoga,Slim,7-14ILL10
Yoga,Slim,7-14IMH9
Yoga,Slim,7-14Q8X9
Yoga,Slim,7-15ILL9
Yoga,Pro,7-14AHP9
Yoga,Pro,7-14AHP9
Yoga,Pro,7-14AKP10
Yoga,Pro,7-14ASP10
Yoga,Pro,7-14ASP9
Yoga,Pro,7-14IAH10
Yoga,Pro,7-14IMH9
Yoga,Pro,7-14IRH8
Yoga,9,2-in-1-14ILL10
Yoga,9,2-in-1-14ILL10
Yoga,9,2-in-1-14IMH9
Yoga,Slim,9-14ILL10
Yoga,Slim,9-14ILL10
Yoga,Pro,9-16IMH9
Yoga,Pro,9-16IMH9
Yoga,Book,9-13IMU9
Yoga,Book,9-13IMU9
Yoga,Book,9-14IAH10
Lenovo,13w,2-in-1-Gen-3
Lenovo,13w,2-in-1-Gen-3
Lenovo,13w,Yoga
Lenovo,13w,Yoga-Gen-2
Lenovo,14e,Chromebook-Gen-2
Lenovo,14e,Chromebook-Gen-2
Lenovo,14e,Chromebook-Gen-3
Lenovo,14w,Gen-2
Lenovo,100e,Chromebook-Gen-3
Lenovo,100e,Chromebook-Gen-3
Lenovo,100e,Chromebook-Gen-3-AMD
Lenovo,100e,Chromebook-Gen-4
Lenovo,100e,Chromebook-Gen-4-Intel
Lenovo,100w,Gen-3-AMD
Lenovo,100w,Gen-4
Lenovo,100w,Gen-5
Lenovo,300e,Yoga-Chromebook-Gen-4
Lenovo,300e,Yoga-Chromebook-Gen-4
Lenovo,300w,2-in-1-Gen-5
Lenovo,300w,Gen-3-AMD
Lenovo,300w,Yoga-Gen-4
Lenovo,500e,Chromebook-Gen-3-Intel
Lenovo,500e,Chromebook-Gen-3-Intel
Lenovo,500e,Chromebook-Gen-4s
Lenovo,500e,Yoga-Chromebook-Gen-4
Lenovo,500w,2-in-1-Gen-5
Lenovo,500w,Gen-3-Intel
Lenovo,500w,Yoga-Gen-4
Lenovo,Chrome,2in1-14IRU10
Lenovo,Chrome,2in1-14IRU10
Lenovo,Chromebook,11IJL9
Lenovo,Chromebook,Duet-11M889
Lenovo,Chromebook,Duet-11M889
Lenovo,Chromebook,Duet-EDU-G2
Lenovo,Flex5,Chrome-14IAU
Lenovo,Flex5,Chrome-14IAU
Lenovo,K14,Gen-2
Lenovo,K14,Gen-2
Lenovo,K14,Gen-3
Lenovo,V14,G3-IAP
Lenovo,V14,G3-IAP
Lenovo,V14,G4-ABP
Lenovo,V14,G4-AMN
Lenovo,V14,G4-IAN
Lenovo,V14,G4-IRU
Lenovo,V14,G5-IRL
Lenovo,V15,G2-IJL
Lenovo,V15,G3-IAP
Lenovo,V15,G4-ABP
Lenovo,V15,G4-AMN
Lenovo,V15,G4-IAN
Lenovo,V15,G4-IRU
Lenovo,V15,G5-IRL
Lenovo,V15,G6-ITN
Lenovo,V17,G4-IRU
Lenovo,Slim,7-14ILL10
Lenovo,Slim,7-14ILL10
Lenovo,Slim,7-14IMH9
